Ativo,cod_Ativo_guess_norm,cod_Ativo_norm_match,Fundo,Fundo_final
LF002400EY5,LF002400EY5,LF002400EY5,FIRF GERAES 30,FIRF GERAES 30
LF002400EY5,LF002400EY5,LF002400EY5,MANACA INFRA,MANACA INFRA
LF002400KBW,LF002400KBW,LF002400KBW,FIRF GERAES,FIRF GERAES
LF002400LGS,LF002400LGS,LF002400LGS,FIRF GERAES,FIRF GERAES
LF002400KBU,LF002400KBU,LF002400KBU,FIRF GERAES,FIRF GERAES
LF002400LGT,LF002400LGT,LF002400LGT,FIRF GERAES,FIRF GERAES
LF002400LGM,LF002400LGM,LF002400LGM,FIRF GERAES,FIRF GERAES
LF002400LGS,LF002400LGS,LF002400LGS,FIRF GERAES 30,FIRF GERAES 30
LF002400KBY,LF002400KBY,LF002400KBY,FIRF GERAES 30,FIRF GERAES 30
LF002400KBT,LF002400KBT,LF002400KBT,FIRF GERAES 30,FIRF GERAES 30
LF002400KBX,LF002400KBX,LF002400KBX,MANACA INFRA,MANACA INFRA
LF002400KC2,LF002400KC2,LF002400KC2,TOPAZIO INFRA,TOPAZIO INFRA
LF002400GJ4,LF002400GJ4,LF002400GJ4,FIRF GERAES,FIRF GERAES
LF002400ABN,LF002400ABN,LF002400ABN,FIRF GERAES,FIRF GERAES
LF0024008ZU,LF0024008ZU,LF0024008ZU,FIRF GERAES,FIRF GERAES
LF002400ABK,LF002400ABK,LF002400ABK,FIRF GERAES,FIRF GERAES
LF002400ABF,LF002400ABF,LF002400ABF,FIRF GERAES,FIRF GERAES
LF002400GJ4,LF002400GJ4,LF002400GJ4,FIRF GERAES 30,FIRF GERAES 30
LF002400ABJ,LF002400ABJ,LF002400ABJ,FIRF GERAES 30,FIRF GERAES 30
LF002400GJ4,LF002400GJ4,LF002400GJ4,HORIZONTE FIM,HORIZONTE FIM
LF0024008ZU,LF0024008ZU,LF0024008ZU,HORIZONTE FIM,HORIZONTE FIM
LF0024008ZU,LF0024008ZU,LF0024008ZU,MANACA INFRA,MANACA INFRA
LF002400ABH,LF002400ABH,LF002400ABH,MANACA INFRA,MANACA INFRA
LF002400ABG,LF002400ABG,LF002400ABG,MANACA INFRA,MANACA INFRA
LF0024008ZU,LF0024008ZU,LF0024008ZU,TOPAZIO INFRA,TOPAZIO INFRA
LF002400ABI,LF002400ABI,LF002400ABI,TOPAZIO INFRA,TOPAZIO INFRA
LF002400UVP,LF002400UVP,LF002400UVP,FIRF GERAES,FIRF GERAES
LF002400UVJ,LF002400UVJ,LF002400UVJ,FIRF GERAES 30,FIRF GERAES 30
LF002500E1G,LF002500E1G,LF002500E1G,BH INFRA,BH INFRA
LF002500PSL,LF002500PSL,LF002500PSL,BH INFRA,BH INFRA
LF002500E1G,LF002500E1G,LF002500E1G,FIRF GERAES,FIRF GERAES
LF002500PSL,LF002500PSL,LF002500PSL,FIRF GERAES,FIRF GERAES
LF002500PSL,LF002500PSL,LF002500PSL,FIRF GERAES 30,FIRF GERAES 30
LF002500E1G,LF002500E1G,LF002500E1G,FIRF GERAES 30,FIRF GERAES 30
LF002500E1G,LF002500E1G,LF002500E1G,HORIZONTE FIM,HORIZONTE FIM
LF002500PSL,LF002500PSL,LF002500PSL,HORIZONTE FIM,HORIZONTE FIM
LF002500PSL,LF002500PSL,LF002500PSL,MANACA INFRA,MANACA INFRA
LF002500E1G,LF002500E1G,LF002500E1G,MANACA INFRA,MANACA INFRA
LF002500E1G,LF002500E1G,LF002500E1G,TOPAZIO INFRA,TOPAZIO INFRA
LF002500PSL,LF002500PSL,LF002500PSL,TOPAZIO INFRA,TOPAZIO INFRA
LF002400BWH,LF002400BWH,,FIRF GERAES,FIRF GERAES
LF002400BWH,LF002400BWH,,FIRF GERAES 30,FIRF GERAES 30
DAPAGO26,DAPAGO26,,BH INFRA,BH INFRA
DAPAGO32,DAPAGO32,,BH INFRA,BH INFRA
DAPMAI35,DAPMAI35,,BH INFRA,BH INFRA
DI1JAN29,DI1JAN29,,BH INFRA,BH INFRA
DAPMAI27,DAPMAI27,,BH INFRA,BH INFRA
DAPAGO40,DAPAGO40,,BH INFRA,BH INFRA
DI1JAN27,DI1JAN27,,BH INFRA,BH INFRA
DI1JAN28,DI1JAN28,,BH INFRA,BH INFRA
DI1JUL26,DI1JUL26,,BH INFRA,BH INFRA
DAPAGO28,DAPAGO28,,BH INFRA,BH INFRA
DI1JAN31,DI1JAN31,,BH INFRA,BH INFRA
DI1JAN30,DI1JAN30,,BH INFRA,BH INFRA
DAPAGO30,DAPAGO30,,BH INFRA,BH INFRA
DAPMAI29,DAPMAI29,,BH INFRA,BH INFRA
